2022-01-14 20:58:44 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2022-01-14 20:58:45 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2022-01-14 20:58:46 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2022-01-14 20:58:46 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-01-14 20:58:46 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-01-14 20:58:46 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-01-14 20:58:46 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2022-01-14 20:58:46 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-01-14 20:58:46 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1149 ms
2022-01-14 20:58:46 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-01-14 20:58:48 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2022-01-14 20:58:48 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2022-01-14 20:58:48 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2022-01-14 20:58:48 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2c154508, org.springframework.security.web.context.SecurityContextPersistenceFilter@6c75e3bc, org.springframework.security.web.header.HeaderWriterFilter@5b23c1f6, org.springframework.security.web.csrf.CsrfFilter@275902e1, org.springframework.security.web.authentication.logout.LogoutFilter@520c3dcb, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7eefaca0, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@6be8ce1b, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@395eb363, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2bd4780c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2374452a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3516b881, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1e194966, org.springframework.security.web.session.SessionManagementFilter@3bf01a01, org.springframework.security.web.access.ExceptionTranslationFilter@799fb45e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@708f7386]
2022-01-14 20:58:49 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-01-14 20:58:49 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-01-14 20:58:49 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-01-14 20:58:49 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 6.041 seconds (JVM running for 6.532)
2022-01-14 20:59:04 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-01-14 20:59:04 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-01-14 20:59:04 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2022-01-14 20:59:04 [http-nio-8888-exec-1] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [314] milliseconds.
2022-01-14 20:59:05 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Mourad/AppData/Local/Temp/config-repo-8347304930135998833/config-client-elastic_query.yml
2022-01-14 20:59:05 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Mourad/AppData/Local/Temp/config-repo-8347304930135998833/config-client.yml
