2022-04-03 15:40:06 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2022-04-03 15:40:07 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2022-04-03 15:40:08 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2022-04-03 15:40:08 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-04-03 15:40:09 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-04-03 15:40:09 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-04-03 15:40:09 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2022-04-03 15:40:09 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-04-03 15:40:09 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1226 ms
2022-04-03 15:40:09 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-04-03 15:40:11 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2022-04-03 15:40:11 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2022-04-03 15:40:11 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2022-04-03 15:40:11 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3355b8ff, org.springframework.security.web.context.SecurityContextPersistenceFilter@49fe0bcd, org.springframework.security.web.header.HeaderWriterFilter@4ffa078d, org.springframework.security.web.csrf.CsrfFilter@2cc34cd5, org.springframework.security.web.authentication.logout.LogoutFilter@174e1b99, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4f4d05b3, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@35524549, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@32646ecf, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@57839834, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6be8ce1b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@621392ea, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@68f9e807, org.springframework.security.web.session.SessionManagementFilter@42238078, org.springframework.security.web.access.ExceptionTranslationFilter@6ffc6ea7, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@37364634]
2022-04-03 15:40:11 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-04-03 15:40:11 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-04-03 15:40:11 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-04-03 15:40:12 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 6.405 seconds (JVM running for 7.254)
2022-04-03 15:40:27 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-03 15:40:27 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-04-03 15:40:27 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2022-04-03 15:40:28 [http-nio-8888-exec-1] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [320] milliseconds.
2022-04-03 15:40:28 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Mourad/AppData/Local/Temp/config-repo-4587769554938959907/config-client-twitter_to_kafka.yml
2022-04-03 15:40:28 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Mourad/AppData/Local/Temp/config-repo-4587769554938959907/config-client.yml
2022-04-03 15:52:51 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Mourad/AppData/Local/Temp/config-repo-4587769554938959907/config-client-kafka_streams.yml
2022-04-03 15:52:51 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/Mourad/AppData/Local/Temp/config-repo-4587769554938959907/config-client.yml
